key,value
"Gross National Income Per Capita, male (2021 PPP$) (2023)",103807.5721
Inequality-adjusted Human Development Index (value) (2010),0.87
Inequality-adjusted Human Development Index (value) (2011),0.873
Inequality-adjusted Human Development Index (value) (2012),0.879
Inequality-adjusted Human Development Index (value) (2013),0.884
Inequality-adjusted Human Development Index (value) (2014),0.884
Inequality-adjusted Human Development Index (value) (2015),0.884
Inequality-adjusted Human Development Index (value) (2016),0.887
Inequality-adjusted Human Development Index (value) (2017),0.886
Inequality-adjusted Human Development Index (value) (2018),0.889
Inequality-adjusted Human Development Index (value) (2019),0.891
Inequality-adjusted Human Development Index (value) (2020),0.885
Inequality-adjusted Human Development Index (value) (2021),0.891
Inequality-adjusted Human Development Index (value) (2022),0.89
Inequality-adjusted Human Development Index (value) (2023),0.894
Coefficient of human inequality (2010),7.610542803
Coefficient of human inequality (2011),7.510459833
Coefficient of human inequality (2012),7.13789928
Coefficient of human inequality (2013),7.039557993
Coefficient of human inequality (2014),7.389523057
Coefficient of human inequality (2015),7.403342833
Coefficient of human inequality (2016),7.245019057
Coefficient of human inequality (2017),7.49285091
Coefficient of human inequality (2018),7.365603
Coefficient of human inequality (2019),7.447192393
Coefficient of human inequality (2020),7.80662061
Coefficient of human inequality (2021),7.63530868
Coefficient of human inequality (2022),7.589926526
Coefficient of human inequality (2023),7.517550192
Overall loss (%) (2010),7.936507937
Overall loss (%) (2011),7.716701903
Overall loss (%) (2012),7.376185458
Overall loss (%) (2013),7.142857143
Overall loss (%) (2014),7.531380753
Overall loss (%) (2015),7.62800418
Overall loss (%) (2016),7.507820647
Overall loss (%) (2017),7.708333333
Overall loss (%) (2018),7.588357588
Overall loss (%) (2019),7.668393782
Overall loss (%) (2020),8.099688474
Overall loss (%) (2021),7.954545455
Overall loss (%) (2022),7.867494824
Overall loss (%) (2023),7.835051546
Inequality in life expectancy (2010),3.6882615
Inequality in life expectancy (2011),3.6961267
Inequality in life expectancy (2012),3.5889311
Inequality in life expectancy (2013),3.671396
Inequality in life expectancy (2014),3.6586165
Inequality in life expectancy (2015),3.6826863
Inequality in life expectancy (2016),3.3488543
Inequality in life expectancy (2017),3.415688
Inequality in life expectancy (2018),3.3358386
Inequality in life expectancy (2019),3.2214117
Inequality in life expectancy (2020),3.4462941
Inequality in life expectancy (2021),3.2270031
Inequality in life expectancy (2022),3.3390603
Inequality in life expectancy (2023),3.1219313
Inequality in eduation (2010),2.34789
Inequality in eduation (2011),2.15938
Inequality in eduation (2012),2.14669
Inequality in eduation (2013),2.01408
Inequality in eduation (2014),2.27133
Inequality in eduation (2015),2.02677
Inequality in eduation (2016),1.93114
Inequality in eduation (2017),1.9112
Inequality in eduation (2018),1.82879
Inequality in eduation (2019),1.92055
Inequality in eduation (2020),2.01457
Inequality in eduation (2021),2.00997
Inequality in eduation (2022),1.761766337
Inequality in eduation (2023),1.761766337
Inequality in income (2010),16.79547691
Inequality in income (2011),16.6758728
Inequality in income (2012),15.67807674
Inequality in income (2013),15.43319798
Inequality in income (2014),16.23862267
Inequality in income (2015),16.5005722
Inequality in income (2016),16.45506287
Inequality in income (2017),17.15166473
Inequality in income (2018),16.9321804
Inequality in income (2019),17.19961548
Inequality in income (2020),17.95899773
Inequality in income (2021),17.66895294
Inequality in income (2022),17.66895294
Inequality in income (2023),17.66895294
GII Rank (2023),4
Gender Inequality Index (value) (1990),0.127
Gender Inequality Index (value) (1991),0.125
Gender Inequality Index (value) (1992),0.12
Gender Inequality Index (value) (1993),0.115
Gender Inequality Index (value) (1994),0.11
Gender Inequality Index (value) (1995),0.106
Gender Inequality Index (value) (1996),0.098
Gender Inequality Index (value) (1997),0.096
Gender Inequality Index (value) (1998),0.095
Gender Inequality Index (value) (1999),0.098
Gender Inequality Index (value) (2000),0.093
Gender Inequality Index (value) (2001),0.087
Gender Inequality Index (value) (2002),0.085
Gender Inequality Index (value) (2003),0.077
Gender Inequality Index (value) (2004),0.077
Gender Inequality Index (value) (2005),0.074
Gender Inequality Index (value) (2006),0.069
Gender Inequality Index (value) (2007),0.062
Gender Inequality Index (value) (2008),0.06
Gender Inequality Index (value) (2009),0.058
Gender Inequality Index (value) (2010),0.056
Gender Inequality Index (value) (2011),0.053
Gender Inequality Index (value) (2012),0.05
Gender Inequality Index (value) (2013),0.043
Gender Inequality Index (value) (2014),0.041
Gender Inequality Index (value) (2015),0.038
Gender Inequality Index (value) (2016),0.038
Gender Inequality Index (value) (2017),0.034
Gender Inequality Index (value) (2018),0.031
Gender Inequality Index (value) (2019),0.016
Gender Inequality Index (value) (2020),0.012
Gender Inequality Index (value) (2021),0.009
Gender Inequality Index (value) (2022),0.008
Gender Inequality Index (value) (2023),0.01
"Maternal Mortality Ratio (deaths per 100,000 live births) (1990)",10.49936852
"Maternal Mortality Ratio (deaths per 100,000 live births) (1991)",10.08207337
"Maternal Mortality Ratio (deaths per 100,000 live births) (1992)",9.861214998
"Maternal Mortality Ratio (deaths per 100,000 live births) (1993)",10.39312215
"Maternal Mortality Ratio (deaths per 100,000 live births) (1994)",10.61132223
"Maternal Mortality Ratio (deaths per 100,000 live births) (1995)",10.80300632
"Maternal Mortality Ratio (deaths per 100,000 live births) (1996)",9.574491401
"Maternal Mortality Ratio (deaths per 100,000 live births) (1997)",9.767166552
"Maternal Mortality Ratio (deaths per 100,000 live births) (1998)",7.863416626
"Maternal Mortality Ratio (deaths per 100,000 live births) (1999)",8.107547825
"Maternal Mortality Ratio (deaths per 100,000 live births) (2000)",7.9042388
"Maternal Mortality Ratio (deaths per 100,000 live births) (2001)",8.55248333
"Maternal Mortality Ratio (deaths per 100,000 live births) (2002)",9.188787676
"Maternal Mortality Ratio (deaths per 100,000 live births) (2003)",8.866634483
"Maternal Mortality Ratio (deaths per 100,000 live births) (2004)",8.942372527
"Maternal Mortality Ratio (deaths per 100,000 live births) (2005)",9.384615466
"Maternal Mortality Ratio (deaths per 100,000 live births) (2006)",8.906438002
"Maternal Mortality Ratio (deaths per 100,000 live births) (2007)",8.370134234
"Maternal Mortality Ratio (deaths per 100,000 live births) (2008)",8.244287093
"Maternal Mortality Ratio (deaths per 100,000 live births) (2009)",7.821249698
"Maternal Mortality Ratio (deaths per 100,000 live births) (2010)",8.119125216
"Maternal Mortality Ratio (deaths per 100,000 live births) (2011)",8.110373121
"Maternal Mortality Ratio (deaths per 100,000 live births) (2012)",7.393046154
"Maternal Mortality Ratio (deaths per 100,000 live births) (2013)",7.237780776
"Maternal Mortality Ratio (deaths per 100,000 live births) (2014)",6.7010067
"Maternal Mortality Ratio (deaths per 100,000 live births) (2015)",6.462582116
"Maternal Mortality Ratio (deaths per 100,000 live births) (2016)",8.056412169
"Maternal Mortality Ratio (deaths per 100,000 live births) (2017)",6.144131951
"Maternal Mortality Ratio (deaths per 100,000 live births) (2018)",7.434867581
"Maternal Mortality Ratio (deaths per 100,000 live births) (2019)",7.104538186
"Maternal Mortality Ratio (deaths per 100,000 live births) (2020)",7.378754713
"Maternal Mortality Ratio (deaths per 100,000 live births) (2021)",7.378754713
"Maternal Mortality Ratio (deaths per 100,000 live births) (2022)",7.378754713
"Maternal Mortality Ratio (deaths per 100,000 live births) (2023)",7.378754713
"Adolescent Birth Rate (births per 1,000 women ages 15-19) (1990)",7.371
"Adolescent Birth Rate (births per 1,000 women ages 15-19) (1991)",7.986
"Adolescent Birth Rate (births per 1,000 women ages 15-19) (1992)",7.551
"Adolescent Birth Rate (births per 1,000 women ages 15-19) (1993)",6.799
"Adolescent Birth Rate (births per 1,000 women ages 15-19) (1994)",6.09
"Adolescent Birth Rate (births per 1,000 women ages 15-19) (1995)",5.578
"Adolescent Birth Rate (births per 1,000 women ages 15-19) (1996)",5.62
"Adolescent Birth Rate (births per 1,000 women ages 15-19) (1997)",5.501
"Adolescent Birth Rate (births per 1,000 women ages 15-19) (1998)",5.584
"Adolescent Birth Rate (births per 1,000 women ages 15-19) (1999)",5.901
"Adolescent Birth Rate (births per 1,000 women ages 15-19) (2000)",5.939
"Adolescent Birth Rate (births per 1,000 women ages 15-19) (2001)",5.464
"Adolescent Birth Rate (births per 1,000 women ages 15-19) (2002)",5.4
"Adolescent Birth Rate (births per 1,000 women ages 15-19) (2003)",5.207
"Adolescent Birth Rate (births per 1,000 women ages 15-19) (2004)",5.182
"Adolescent Birth Rate (births per 1,000 women ages 15-19) (2005)",4.957
"Adolescent Birth Rate (births per 1,000 women ages 15-19) (2006)",4.516
"Adolescent Birth Rate (births per 1,000 women ages 15-19) (2007)",4.343
"Adolescent Birth Rate (births per 1,000 women ages 15-19) (2008)",4.259
"Adolescent Birth Rate (births per 1,000 women ages 15-19) (2009)",4.152
"Adolescent Birth Rate (births per 1,000 women ages 15-19) (2010)",3.96
"Adolescent Birth Rate (births per 1,000 women ages 15-19) (2011)",3.536
"Adolescent Birth Rate (births per 1,000 women ages 15-19) (2012)",3.429
"Adolescent Birth Rate (births per 1,000 women ages 15-19) (2013)",3.119
"Adolescent Birth Rate (births per 1,000 women ages 15-19) (2014)",2.963
"Adolescent Birth Rate (births per 1,000 women ages 15-19) (2015)",2.76
"Adolescent Birth Rate (births per 1,000 women ages 15-19) (2016)",2.829
"Adolescent Birth Rate (births per 1,000 women ages 15-19) (2017)",2.494
"Adolescent Birth Rate (births per 1,000 women ages 15-19) (2018)",2.334
"Adolescent Birth Rate (births per 1,000 women ages 15-19) (2019)",1.992
"Adolescent Birth Rate (births per 1,000 women ages 15-19) (2020)",1.671
"Adolescent Birth Rate (births per 1,000 women ages 15-19) (2021)",1.471
"Adolescent Birth Rate (births per 1,000 women ages 15-19) (2022)",1.386
"Adolescent Birth Rate (births per 1,000 women ages 15-19) (2023)",1.483
"Share of seats in parliament, female (% held by women) (1990)",20.32520325
"Share of seats in parliament, female (% held by women) (1991)",20.32520325
"Share of seats in parliament, female (% held by women) (1992)",20.32520325
"Share of seats in parliament, female (% held by women) (1993)",20.32520325
"Share of seats in parliament, female (% held by women) (1994)",20.32520325
"Share of seats in parliament, female (% held by women) (1995)",20.32520325
"Share of seats in parliament, female (% held by women) (1996)",20.32520325
"Share of seats in parliament, female (% held by women) (1997)",20.32520325
"Share of seats in parliament, female (% held by women) (1998)",20.32520325
"Share of seats in parliament, female (% held by women) (1999)",20.32520325
"Share of seats in parliament, female (% held by women) (2000)",22.35772358
"Share of seats in parliament, female (% held by women) (2001)",22.35772358
"Share of seats in parliament, female (% held by women) (2002)",22.35772358
"Share of seats in parliament, female (% held by women) (2003)",24.78991597
"Share of seats in parliament, female (% held by women) (2004)",24.79674797
"Share of seats in parliament, female (% held by women) (2005)",24.79674797
"Share of seats in parliament, female (% held by women) (2006)",24.79674797
"Share of seats in parliament, female (% held by women) (2007)",27.23577236
"Share of seats in parliament, female (% held by women) (2008)",27.23577236
"Share of seats in parliament, female (% held by women) (2009)",27.64227642
"Share of seats in parliament, female (% held by women) (2010)",27.64227642
"Share of seats in parliament, female (% held by women) (2011)",26.82926829
"Share of seats in parliament, female (% held by women) (2012)",27.23577236
"Share of seats in parliament, female (% held by women) (2013)",28.86178862
"Share of seats in parliament, female (% held by women) (2014)",28.86178862
"Share of seats in parliament, female (% held by women) (2015)",28.86178862
"Share of seats in parliament, female (% held by women) (2016)",28.86178862
"Share of seats in parliament, female (% held by women) (2017)",29.26829268
"Share of seats in parliament, female (% held by women) (2018)",29.26829268
"Share of seats in parliament, female (% held by women) (2019)",38.61788618
"Share of seats in parliament, female (% held by women) (2020)",38.61788618
"Share of seats in parliament, female (% held by women) (2021)",39.83739837
"Share of seats in parliament, female (% held by women) (2022)",39.02439024
"Share of seats in parliament, female (% held by women) (2023)",37.80487805
"Share of seats in parliament, male (% held by men) (1990)",79.67479675
"Share of seats in parliament, male (% held by men) (1991)",79.67479675
"Share of seats in parliament, male (% held by men) (1992)",79.67479675
"Share of seats in parliament, male (% held by men) (1993)",79.67479675
"Share of seats in parliament, male (% held by men) (1994)",79.67479675
"Share of seats in parliament, male (% held by men) (1995)",79.67479675
"Share of seats in parliament, male (% held by men) (1996)",79.67479675
"Share of seats in parliament, male (% held by men) (1997)",79.67479675
"Share of seats in parliament, male (% held by men) (1998)",79.67479675
"Share of seats in parliament, male (% held by men) (1999)",79.67479675
"Share of seats in parliament, male (% held by men) (2000)",77.64227642
"Share of seats in parliament, male (% held by men) (2001)",77.64227642
"Share of seats in parliament, male (% held by men) (2002)",77.64227642
"Share of seats in parliament, male (% held by men) (2003)",75.21008403
"Share of seats in parliament, male (% held by men) (2004)",75.20325203
"Share of seats in parliament, male (% held by men) (2005)",75.20325203
"Share of seats in parliament, male (% held by men) (2006)",75.20325203
"Share of seats in parliament, male (% held by men) (2007)",72.76422764
"Share of seats in parliament, male (% held by men) (2008)",72.76422764
"Share of seats in parliament, male (% held by men) (2009)",72.35772358
"Share of seats in parliament, male (% held by men) (2010)",72.35772358
"Share of seats in parliament, male (% held by men) (2011)",73.17073171
"Share of seats in parliament, male (% held by men) (2012)",72.76422764
"Share of seats in parliament, male (% held by men) (2013)",71.13821138
"Share of seats in parliament, male (% held by men) (2014)",71.13821138
"Share of seats in parliament, male (% held by men) (2015)",71.13821138
"Share of seats in parliament, male (% held by men) (2016)",71.13821138
"Share of seats in parliament, male (% held by men) (2017)",70.73170732
"Share of seats in parliament, male (% held by men) (2018)",70.73170732
"Share of seats in parliament, male (% held by men) (2019)",61.38211382
"Share of seats in parliament, male (% held by men) (2020)",61.38211382
"Share of seats in parliament, male (% held by men) (2021)",60.16260163
"Share of seats in parliament, male (% held by men) (2022)",60.97560976
"Share of seats in parliament, male (% held by men) (2023)",62.19512195
"Labour force participation rate, female (% ages 15 and older) (1990)",49.33
"Labour force participation rate, female (% ages 15 and older) (1991)",51.98
"Labour force participation rate, female (% ages 15 and older) (1992)",52.24
"Labour force participation rate, female (% ages 15 and older) (1993)",52.88
"Labour force participation rate, female (% ages 15 and older) (1994)",52.18
"Labour force participation rate, female (% ages 15 and older) (1995)",52.15
"Labour force participation rate, female (% ages 15 and older) (1996)",56.95
"Labour force participation rate, female (% ages 15 and older) (1997)",56.92
"Labour force participation rate, female (% ages 15 and older) (1998)",58.15
"Labour force participation rate, female (% ages 15 and older) (1999)",58.16
"Labour force participation rate, female (% ages 15 and older) (2000)",57.63
"Labour force participation rate, female (% ages 15 and older) (2001)",58.83
"Labour force participation rate, female (% ages 15 and older) (2002)",59.3
"Labour force participation rate, female (% ages 15 and older) (2003)",59.46
"Labour force participation rate, female (% ages 15 and older) (2004)",59.11
"Labour force participation rate, female (% ages 15 and older) (2005)",59.34
"Labour force participation rate, female (% ages 15 and older) (2006)",59.76
"Labour force participation rate, female (% ages 15 and older) (2007)",59.94
"Labour force participation rate, female (% ages 15 and older) (2008)",61.3
"Labour force participation rate, female (% ages 15 and older) (2009)",61.56
"Labour force participation rate, female (% ages 15 and older) (2010)",59.98
"Labour force participation rate, female (% ages 15 and older) (2011)",60.54
"Labour force participation rate, female (% ages 15 and older) (2012)",60.84
"Labour force participation rate, female (% ages 15 and older) (2013)",61.14
"Labour force participation rate, female (% ages 15 and older) (2014)",61.9
"Labour force participation rate, female (% ages 15 and older) (2015)",62.28
"Labour force participation rate, female (% ages 15 and older) (2016)",62.84
"Labour force participation rate, female (% ages 15 and older) (2017)",62.61
"Labour force participation rate, female (% ages 15 and older) (2018)",62.91
"Labour force participation rate, female (% ages 15 and older) (2019)",62.98
"Labour force participation rate, female (% ages 15 and older) (2020)",62.51
"Labour force participation rate, female (% ages 15 and older) (2021)",62.53
"Labour force participation rate, female (% ages 15 and older) (2022)",61.92
"Labour force participation rate, female (% ages 15 and older) (2023)",62.57
"Labour force participation rate, male (% ages 15 and older) (1990)",79.26
"Labour force participation rate, male (% ages 15 and older) (1991)",78.65
"Labour force participation rate, male (% ages 15 and older) (1992)",78.11
"Labour force participation rate, male (% ages 15 and older) (1993)",78.09
"Labour force participation rate, male (% ages 15 and older) (1994)",76.9
"Labour force participation rate, male (% ages 15 and older) (1995)",77.03
"Labour force participation rate, male (% ages 15 and older) (1996)",78.79
"Labour force participation rate, male (% ages 15 and older) (1997)",78.55
"Labour force participation rate, male (% ages 15 and older) (1998)",78.49
"Labour force participation rate, male (% ages 15 and older) (1999)",78.11
"Labour force participation rate, male (% ages 15 and older) (2000)",77.77
"Labour force participation rate, male (% ages 15 and older) (2001)",77.4
"Labour force participation rate, male (% ages 15 and older) (2002)",76.71
"Labour force participation rate, male (% ages 15 and older) (2003)",76.79
"Labour force participation rate, male (% ages 15 and older) (2004)",75.97
"Labour force participation rate, male (% ages 15 and older) (2005)",75.1
"Labour force participation rate, male (% ages 15 and older) (2006)",75.42
"Labour force participation rate, male (% ages 15 and older) (2007)",75.77
"Labour force participation rate, male (% ages 15 and older) (2008)",75.46
"Labour force participation rate, male (% ages 15 and older) (2009)",75.24
"Labour force participation rate, male (% ages 15 and older) (2010)",74.35
"Labour force participation rate, male (% ages 15 and older) (2011)",74.69
"Labour force participation rate, male (% ages 15 and older) (2012)",74.5
"Labour force participation rate, male (% ages 15 and older) (2013)",74.19
"Labour force participation rate, male (% ages 15 and older) (2014)",74.14
"Labour force participation rate, male (% ages 15 and older) (2015)",74.22
"Labour force participation rate, male (% ages 15 and older) (2016)",74.5
"Labour force participation rate, male (% ages 15 and older) (2017)",74.47
"Labour force participation rate, male (% ages 15 and older) (2018)",74.24
"Labour force participation rate, male (% ages 15 and older) (2019)",73.65
"Labour force participation rate, male (% ages 15 and older) (2020)",73.39
"Labour force participation rate, male (% ages 15 and older) (2021)",72.91
"Labour force participation rate, male (% ages 15 and older) (2022)",72.38
"Labour force participation rate, male (% ages 15 and older) (2023)",72.86
Difference from HDI rank (2023),-41
Planetary pressures-adjusted Human Development Index (value) (1990),0.671
Planetary pressures-adjusted Human Development Index (value) (1991),0.689
Planetary pressures-adjusted Human Development Index (value) (1992),0.69
Planetary pressures-adjusted Human Development Index (value) (1993),0.698
Planetary pressures-adjusted Human Development Index (value) (1994),0.694
Planetary pressures-adjusted Human Development Index (value) (1995),0.693
Planetary pressures-adjusted Human Development Index (value) (1996),0.701
Planetary pressures-adjusted Human Development Index (value) (1997),0.709
Planetary pressures-adjusted Human Development Index (value) (1998),0.705
Planetary pressures-adjusted Human Development Index (value) (1999),0.704
Planetary pressures-adjusted Human Development Index (value) (2000),0.705
Planetary pressures-adjusted Human Development Index (value) (2001),0.703
Planetary pressures-adjusted Human Development Index (value) (2002),0.715
Planetary pressures-adjusted Human Development Index (value) (2003),0.716
Planetary pressures-adjusted Human Development Index (value) (2004),0.717
Planetary pressures-adjusted Human Development Index (value) (2005),0.705
Planetary pressures-adjusted Human Development Index (value) (2006),0.708
Planetary pressures-adjusted Human Development Index (value) (2007),0.713
Planetary pressures-adjusted Human Development Index (value) (2008),0.717
Planetary pressures-adjusted Human Development Index (value) (2009),0.725
Planetary pressures-adjusted Human Development Index (value) (2010),0.717
Planetary pressures-adjusted Human Development Index (value) (2011),0.686
Planetary pressures-adjusted Human Development Index (value) (2012),0.703
Planetary pressures-adjusted Human Development Index (value) (2013),0.706
Planetary pressures-adjusted Human Development Index (value) (2014),0.725
Planetary pressures-adjusted Human Development Index (value) (2015),0.727
Planetary pressures-adjusted Human Development Index (value) (2016),0.723
Planetary pressures-adjusted Human Development Index (value) (2017),0.728
Planetary pressures-adjusted Human Development Index (value) (2018),0.738
Planetary pressures-adjusted Human Development Index (value) (2019),0.742
Planetary pressures-adjusted Human Development Index (value) (2020),0.731
Planetary pressures-adjusted Human Development Index (value) (2021),0.728
Planetary pressures-adjusted Human Development Index (value) (2022),0.736
Planetary pressures-adjusted Human Development Index (value) (2023),0.732
Difference from HDI value (%) (1990),21.79487179
Difference from HDI value (%) (1991),19.88372093
Difference from HDI value (%) (1992),20.04634994
Difference from HDI value (%) (1993),19.49250288
Difference from HDI value (%) (1994),20.22988506
Difference from HDI value (%) (1995),20.52752294
Difference from HDI value (%) (1996),19.88571429
Difference from HDI value (%) (1997),19.43181818
Difference from HDI value (%) (1998),20.42889391
Difference from HDI value (%) (1999),20.80989876
Difference from HDI value (%) (2000),20.96412556
Difference from HDI value (%) (2001),21.45251397
Difference from HDI value (%) (2002),20.20089286
Difference from HDI value (%) (2003),20.5327414
Difference from HDI value (%) (2004),20.86092715
Difference from HDI value (%) (2005),22.44224422
Difference from HDI value (%) (2006),22.87581699
Difference from HDI value (%) (2007),23.00215983
Difference from HDI value (%) (2008),23.23340471
Difference from HDI value (%) (2009),23.03609342
Difference from HDI value (%) (2010),24.12698413
Difference from HDI value (%) (2011),27.48414376
Difference from HDI value (%) (2012),25.92202318
Difference from HDI value (%) (2013),25.84033613
Difference from HDI value (%) (2014),24.16317992
Difference from HDI value (%) (2015),24.03343783
Difference from HDI value (%) (2016),24.60896767
Difference from HDI value (%) (2017),24.16666667
Difference from HDI value (%) (2018),23.28482328
Difference from HDI value (%) (2019),23.10880829
Difference from HDI value (%) (2020),24.0913811
Difference from HDI value (%) (2021),24.79338843
Difference from HDI value (%) (2022),23.80952381
Difference from HDI value (%) (2023),24.53608247
Carbon dioxide emissions per capita (production) (tonnes) (1990),6.577863439
Carbon dioxide emissions per capita (production) (tonnes) (1991),6.788672855
Carbon dioxide emissions per capita (production) (tonnes) (1992),6.695227929
Carbon dioxide emissions per capita (production) (tonnes) (1993),6.287404732
Carbon dioxide emissions per capita (production) (tonnes) (1994),6.10303484
Carbon dioxide emissions per capita (production) (tonnes) (1995),6.168239277
Carbon dioxide emissions per capita (production) (tonnes) (1996),6.239027986
Carbon dioxide emissions per capita (production) (tonnes) (1997),6.07391169
Carbon dioxide emissions per capita (production) (tonnes) (1998),6.277674822
Carbon dioxide emissions per capita (production) (tonnes) (1999),6.222944253
Carbon dioxide emissions per capita (production) (tonnes) (2000),6.073564698
Carbon dioxide emissions per capita (production) (tonnes) (2001),6.240861702
Carbon dioxide emissions per capita (production) (tonnes) (2002),5.973602621
Carbon dioxide emissions per capita (production) (tonnes) (2003),6.090744863
Carbon dioxide emissions per capita (production) (tonnes) (2004),6.128149932
Carbon dioxide emissions per capita (production) (tonnes) (2005),6.162361251
Carbon dioxide emissions per capita (production) (tonnes) (2006),6.068834691
Carbon dioxide emissions per capita (production) (tonnes) (2007),5.748959414
Carbon dioxide emissions per capita (production) (tonnes) (2008),5.851900321
Carbon dioxide emissions per capita (production) (tonnes) (2009),5.627233123
Carbon dioxide emissions per capita (production) (tonnes) (2010),5.757043683
Carbon dioxide emissions per capita (production) (tonnes) (2011),5.179217953
Carbon dioxide emissions per capita (production) (tonnes) (2012),5.282876953
Carbon dioxide emissions per capita (production) (tonnes) (2013),5.337467996
Carbon dioxide emissions per capita (production) (tonnes) (2014),4.790193106
Carbon dioxide emissions per capita (production) (tonnes) (2015),4.675229771
Carbon dioxide emissions per capita (production) (tonnes) (2016),4.67843989
Carbon dioxide emissions per capita (production) (tonnes) (2017),4.515642853
Carbon dioxide emissions per capita (production) (tonnes) (2018),4.329001787
Carbon dioxide emissions per capita (production) (tonnes) (2019),4.282015414
Carbon dioxide emissions per capita (production) (tonnes) (2020),3.962233289
Carbon dioxide emissions per capita (production) (tonnes) (2021),4.11668722
Carbon dioxide emissions per capita (production) (tonnes) (2022),3.754820106
Carbon dioxide emissions per capita (production) (tonnes) (2023),3.721556421
Material footprint per capita (tonnes) (1990),31.5487
Material footprint per capita (tonnes) (1991),27.9616
Material footprint per capita (tonnes) (1992),28.336
Material footprint per capita (tonnes) (1993),27.687
Material footprint per capita (tonnes) (1994),29.3897
Material footprint per capita (tonnes) (1995),29.8956
Material footprint per capita (tonnes) (1996),28.6286
Material footprint per capita (tonnes) (1997),27.9601
Material footprint per capita (tonnes) (1998),29.5616
Material footprint per capita (tonnes) (1999),30.2088
Material footprint per capita (tonnes) (2000),30.7715
Material footprint per capita (tonnes) (2001),31.2917
Material footprint per capita (tonnes) (2002),29.3711
Material footprint per capita (tonnes) (2003),29.8833
Material footprint per capita (tonnes) (2004),30.3714
Material footprint per capita (tonnes) (2005),33.3522
Material footprint per capita (tonnes) (2006),34.1364
Material footprint per capita (tonnes) (2007),34.8273
Material footprint per capita (tonnes) (2008),35.0443
Material footprint per capita (tonnes) (2009),34.9758
Material footprint per capita (tonnes) (2010),36.7873
Material footprint per capita (tonnes) (2011),43.5819
Material footprint per capita (tonnes) (2012),40.5849
Material footprint per capita (tonnes) (2013),40.3587
Material footprint per capita (tonnes) (2014),38.0457
Material footprint per capita (tonnes) (2015),37.8704
Material footprint per capita (tonnes) (2016),38.8427
Material footprint per capita (tonnes) (2017),38.2827
Material footprint per capita (tonnes) (2018),36.8805
Material footprint per capita (tonnes) (2019),36.6818
Material footprint per capita (tonnes) (2020),38.8436
Material footprint per capita (tonnes) (2021),39.9105
Material footprint per capita (tonnes) (2022),38.6186
Material footprint per capita (tonnes) (2023),39.829
Period,2005-2009
Total,54.86
Women,54.02
Men,55.86
Share of people with no bias,45.14
Political,21.4
Educational,8.82
Economic,29.38
Physical integrity,29.51